Date,AAPL,GOOG,IBM,MSFT
2010-07-22,161329700,4311400,6909000,73016400
2010-07-23,133347200,4545700,5078000,108520100
2010-07-26,105137900,4005200,5174900,67249900
2010-07-27,146192900,4920700,4648200,60672100
2010-07-28,129996300,5010600,4248800,69704800
2010-07-29,160951700,5371000,8994200,69446200
2010-07-30,112052500,4304100,6021000,83534800
2010-08-02,107013900,3731300,6437500,55044600
2010-08-03,104413400,3618100,5091800,56877700
2010-08-04,105093800,7653500,4567500,78531900
2010-08-05,72274300,4858900,4520600,64922100
2010-08-06,111224400,6663800,6136200,55982100
2010-08-09,75782000,3758300,6131700,57096500
2010-08-10,112980000,4163400,5471700,87257700
2010-08-11,155013600,4462600,6316100,76746900
2010-08-12,133730100,4425700,5132200,70240500
2010-08-13,88717300,3883800,4669400,45263500
2010-08-16,79607500,2619700,4009200,40909700
2010-08-17,105660100,3795400,4298300,52912600
2010-08-18,84924000,5392800,4883200,46818900
2010-08-19,106676500,7879300,5402400,54064600
2010-08-20,96057500,7864500,6246300,49560100
2010-08-23,103510400,5994700,4034400,51643000
2010-08-24,150641400,5546000,5621200,66522500
2010-08-25,149216900,5203500,5235300,47404800
2010-08-26,116626300,3567200,7746600,49105300
2010-08-27,137097800,4642100,6214200,60939400
2010-08-30,95822300,2471900,3604000,45453100
2010-08-31,105196700,3908100,5624200,66074600
2010-09-01,174259400,6480700,5623100,65235900
2010-09-02,103856900,3380900,5103300,48837100
2010-09-03,130197200,5099700,5142900,64189100
2010-09-07,85639400,3432500,4353300,51928700
2010-09-08,131637800,4821600,4477500,65512400
2010-09-09,109643800,4879300,3436700,46028900
2010-09-10,96885600,3963300,4418700,58284300
2010-09-13,97195000,4499700,5271300,114680400
2010-09-14,102037600,4449500,4850500,87160400
2010-09-15,107342200,4823600,4762500,56201900
2010-09-16,163025800,3953700,4685000,44548300
2010-09-17,158619300,11325400,10397400,70341600
2010-09-20,164669400,8840000,7145500,49838700
2010-09-21,167018600,8966000,5267900,52675700
2010-09-22,146322400,5093100,4922400,94299400
2010-09-23,196529200,4652100,3898800,46201800
2010-09-24,162372000,6738900,7122400,51948800
2010-09-27,120708700,6238000,6155400,43603300
2010-09-28,258760600,7336700,7481300,56041200
2010-09-29,117411000,4360600,5151200,44318900
2010-09-30,168347900,6512400,6425800,61262700
2010-10-01,112035700,4466600,5621200,62672300
