Date,AAPL,GOOG,IBM,MSFT
2010-01-04,27.990226,313.062468,113.30453600000001,25.884104
2010-01-05,28.038618,311.683844,111.935822,25.892466
2010-01-06,27.592626,303.826685,111.20868300000001,25.733566
2010-01-07,27.541619,296.753749,110.823732,25.465944
2010-01-08,27.724725,300.709808,111.935822,25.641571
2010-01-11,27.480148,300.255255,110.76384399999999,25.315406
2010-01-12,27.167562,294.945572,111.644958,25.148142
2010-01-13,27.550775,293.252243,111.405433,25.382312
2010-01-14,27.391211,294.630868,113.18477299999999,25.892466
2010-01-15,26.933449,289.710772,112.731385,25.808835000000002
2010-01-19,28.124939,293.516976,114.750251,26.009552
2010-01-20,27.692027000000003,289.915587,111.422546,25.583028
2010-01-21,27.213337,291.199286,110.35323100000001,25.097963
2010-01-22,25.863592,274.730736,107.359151,24.219826
2010-01-25,26.559390999999998,269.73073999999997,107.88953400000001,24.520902
2010-01-26,26.934757,270.939526,107.57301399999999,24.671439000000003
2010-01-27,27.188489,270.779695,108.06917800000001,24.813614
2010-01-28,26.065007,266.878565,105.86211100000001,24.387091
2010-01-29,25.119401,264.705742,104.698697,23.567497
2010-02-01,25.468608,266.244198,106.649125,23.759851
2010-02-02,25.6164,265.295156,107.38481399999999,23.801666
2010-02-03,26.057159,270.140309,107.496027,23.943839999999998
2010-02-04,25.118093,263.127321,105.220523,23.283148
2010-02-05,25.564084,265.380075,105.665355,23.433685999999998
2010-02-08,25.388826,266.468996,104.72874499999999,23.182789
2010-02-09,25.659561,267.95252200000004,105.87158600000001,23.425323000000002
2010-02-10,25.519617,266.95849599999997,105.527873,23.408596
2010-02-11,25.983917,267.932539,106.31841399999999,23.517319
2010-02-12,26.207567,266.29417,106.550416,23.358417000000003
2010-02-16,26.602551000000002,270.380071,107.60733,23.820544
2010-02-17,26.491381,268.836627,108.55253400000001,24.022199
2010-02-18,26.541079999999997,271.339119,109.824261,24.341486
2010-02-19,26.376286,270.11035,109.291513,24.173441
2010-02-22,26.212799,271.129347,108.99935500000001,24.139831
2010-02-23,25.773347,267.26818199999997,108.66423799999998,23.803739
2010-02-24,26.244189000000002,265.46998199999996,109.63521899999999,24.055808
2010-02-25,26.419446999999998,262.952495,109.18839799999999,24.030602
2010-02-26,26.762114,263.13732799999997,109.265736,24.089418
2010-03-01,27.333665000000003,266.079379,110.47731999999999,24.383499
2010-03-02,27.315354,270.260205,109.489143,23.912968
2010-03-03,27.378132,272.388075,109.02513300000001,23.912968
2010-03-04,27.558621999999996,277.018467,108.887652,24.055808
2010-03-05,28.636326,281.823654,109.34306799999999,24.022199
2010-03-08,28.653328000000002,280.95953199999997,108.621278,24.055808
2010-03-09,29.168639000000002,279.815651,107.882299,24.198647
2010-03-10,29.406674,287.937542,107.942448,24.341486
2010-03-11,29.492996999999995,290.280203,109.64381399999999,24.517936
2010-03-12,29.636865000000004,289.481016,109.935971,24.593557
2010-03-15,29.275885,281.309183,109.84145,24.610362
2010-03-16,29.355666999999997,282.318173,110.56324,24.67758
2010-03-17,29.312507,282.497987,109.781301,24.896039000000002
2010-03-18,29.381825,282.917563,110.31405600000001,24.879235
2010-03-19,29.067931,279.720756,109.738335,24.86243
2010-03-22,29.394904999999998,278.472004,109.970343,24.870832999999998
2010-03-23,29.867053000000002,274.226241,111.164732,25.106096
2010-03-24,29.999151,278.387085,110.44294199999999,24.912844
2010-03-25,29.643403000000003,281.15932799999996,111.05303500000001,25.215327
2010-03-26,30.199258,281.064433,111.07021100000001,24.921246
2010-03-29,30.394134,280.944537,110.494497,24.86243
2010-03-30,30.846665,283.072406,110.649173,25.013672
2010-03-31,30.735496,283.277222,110.202345,24.610362
2010-04-01,30.86236,284.116374,110.202345,24.501131
2010-04-05,31.191948999999997,285.220259,111.14755600000001,24.593557
2010-04-06,31.329279999999997,283.82667000000004,110.786648,24.635567
2010-04-07,31.467916,281.48899700000004,110.399975,24.660775
2010-04-08,31.382903000000002,283.46202400000004,109.65240800000001,25.139706
2010-04-09,31.623554,282.827656,110.64057199999999,25.492603
2010-04-12,31.68895,286.079424,110.296866,25.475798
2010-04-13,31.707261,293.092412,110.87258100000001,25.585029000000002
2010-04-14,32.133633,294.206303,112.780178,25.895914
2010-04-15,32.556084000000006,297.35317000000003,112.47083799999999,25.937926
2010-04-16,32.357283,274.80066,112.24743000000001,25.769879
2010-04-19,32.314122999999995,274.775689,113.622266,26.080766
2010-04-20,31.989765000000002,277.243234,111.43970700000001,26.349639
2010-04-21,33.903213,276.8736,110.83821499999999,26.324432
2010-04-22,34.851434999999995,273.257216,110.958514,26.374845
2010-04-23,35.421676,272.223256,111.697493,26.013545
2010-04-26,35.247727000000005,265.554901,112.33335,26.139581
2010-04-27,34.272037,264.266183,110.69214,25.921121
2010-04-28,34.214492,264.33112,111.792014,25.971535
2010-04-29,35.135249,265.734715,112.101354,26.047155
2010-04-30,34.14779,262.587849,110.84680300000001,25.66065
2010-05-03,34.83574,265.035411,111.362375,25.929524
2010-05-04,33.832584999999995,252.932505,110.090635,25.316154
2010-05-05,33.480763,254.62580400000002,109.52351499999999,25.08089
2010-05-06,32.206873,249.08633500000002,107.027468,24.349889
2010-05-07,30.847974,246.32409900000002,105.45556699999999,23.702911
2010-05-10,33.219184999999996,260.564881,109.05712,24.31628
2010-05-11,33.550081,254.271164,109.592605,24.265864999999998
2010-05-12,34.278579,252.44298999999998,114.593318,24.736396
2010-05-13,33.790735,255.18525899999997,113.55690200000001,24.568348999999998
2010-05-14,33.196949,253.51192799999998,113.30644,24.307878
2010-05-17,33.249266,253.73170699999997,112.658679,24.31628
2010-05-18,33.005998999999996,248.936496,112.23546999999999,24.139035999999997
2010-05-19,32.480224,246.96845699999997,111.294059,23.835187
2010-05-20,31.096473,237.26814500000003,106.923831,22.881443
2010-05-21,31.692871999999998,235.789622,108.32299099999999,22.653556
2010-05-24,32.273576,238.342071,107.485219,22.172464
2010-05-25,32.072163,238.297118,107.545676,22.003659
2010-05-26,31.926985,237.497916,106.431532,21.108995999999998
2010-05-27,33.135478000000006,244.98543999999998,109.16076399999999,21.944578
2010-05-28,33.597165999999994,242.57283900000002,108.18480600000001,21.775772
2010-06-01,34.113784,240.944477,107.39021299999999,21.851735
2010-06-02,34.521845,246.43899199999998,110.041723,22.332826999999998
2010-06-03,34.413289,252.54789100000002,110.51674399999999,22.670437
2010-06-04,33.476841,249.11132200000003,108.202076,21.767333999999998
2010-06-07,32.820277000000004,242.51789399999998,107.20884099999999,21.345323
2010-06-08,32.609707,242.14826000000002,106.854735,21.193398000000002
2010-06-09,31.807969,236.77362599999998,107.010198,20.923310999999998
2010-06-10,32.764038,243.262151,110.274914,21.100555
2010-06-11,33.156405,244.006409,110.939947,21.657610000000002
2010-06-14,33.257113000000004,241.35406099999997,110.98313300000001,21.522566
2010-06-15,33.964684000000005,248.746675,112.097277,22.43411
2010-06-16,34.953449,250.385044,112.58095,22.214664000000003
2010-06-17,35.557696,249.790642,113.12506100000002,22.256867
2010-06-18,35.845436,249.765656,112.408203,22.315948000000002
2010-06-21,35.335356,244.036383,112.84004399999999,21.902376999999998
2010-06-22,35.816660999999996,242.882541,111.67408200000001,21.750453
2010-06-23,35.439986,240.78463,112.37366200000001,21.362202
2010-06-24,35.182331,237.313098,110.71539399999999,21.100555
2010-06-25,34.881515,236.104296,109.791255,20.703865
2010-06-28,35.09078,235.804602,111.397697,20.518179999999997
2010-06-29,33.504305,226.903491,108.037975,19.674157
2010-06-30,32.897443,222.253131,106.647453,19.420951000000002
2010-07-01,32.498535,219.52585699999997,105.861499,19.547554
2010-07-02,32.297118,218.05731,105.24828600000001,19.640397
2010-07-06,32.518152,217.81756299999998,106.630175,20.104609
2010-07-07,33.831278999999995,224.875504,109.68761,20.509739
2010-07-08,33.75542,228.05234500000003,110.525383,20.602582
2010-07-09,33.955527000000004,233.51188199999999,110.51674399999999,20.48442
2010-07-12,33.650789,237.67772999999997,111.129958,20.957072
2010-07-13,32.932755,244.35606,112.69322,21.210278
2010-07-14,33.054390000000005,245.424998,112.900508,21.471926
2010-07-15,32.88698,246.763657,112.900508,21.531007000000002
2010-07-16,32.684257,229.575821,110.577202,21.007711999999998
2010-07-19,32.119248,232.857547,112.097277,21.29468
2010-07-20,32.944528000000005,240.554859,109.298956,21.505685999999997
2010-07-21,33.251881,238.51189399999998,108.19343799999999,21.201839
2010-07-22,33.877055,242.163255,110.093542,21.809534
